customer_id,signup_date,plan,mrr_usd,last_active_at
CUST-00142,2024-02-11,enterprise,4900,2026-09-29T14:22:00Z
CUST-00187,2024-04-23,pro,499,2026-09-30T08:11:00Z
CUST-00203,2024-06-08,starter,99,2026-09-28T19:47:00Z
CUST-00251,2024-09-14,pro,499,2026-09-26T11:03:00Z
CUST-00298,2024-11-30,enterprise,3900,2026-09-30T16:55:00Z
CUST-00334,2025-01-22,starter,99,2026-09-12T07:18:00Z
CUST-00389,2025-03-17,pro,499,2026-09-29T22:40:00Z
CUST-00412,2025-05-04,enterprise,4900,2026-09-30T13:09:00Z
CUST-00457,2025-07-19,starter,99,2026-08-21T10:32:00Z
CUST-00501,2025-09-02,pro,499,2026-09-27T15:48:00Z
CUST-00548,2025-11-15,enterprise,3900,2026-09-30T09:24:00Z
CUST-00592,2026-01-08,starter,99,2026-09-25T18:17:00Z
CUST-00631,2026-03-21,pro,499,2026-09-30T12:01:00Z
CUST-00674,2026-05-06,starter,99,2026-09-19T20:53:00Z
CUST-00718,2026-08-14,pro,499,2026-09-30T17:36:00Z
