date,region,product,units,revenue
2026-07-02,NA,starter,142,14058.00
2026-07-08,EMEA,pro,38,18924.00
2026-07-11,APAC,starter,76,7524.00
2026-07-15,NA,pro,52,25896.00
2026-07-22,EMEA,enterprise,9,44550.00
2026-07-29,APAC,pro,31,15438.00
2026-08-03,NA,enterprise,12,59400.00
2026-08-09,EMEA,starter,118,11682.00
2026-08-14,APAC,enterprise,7,34650.00
2026-08-19,NA,pro,61,30378.00
2026-08-25,EMEA,pro,44,21912.00
2026-08-31,APAC,starter,89,8811.00
2026-09-04,NA,starter,167,16533.00
2026-09-09,EMEA,enterprise,11,54450.00
2026-09-14,APAC,pro,29,14442.00
2026-09-18,NA,enterprise,14,69300.00
2026-09-22,EMEA,starter,103,10197.00
2026-09-25,APAC,enterprise,8,39600.00
2026-09-28,NA,pro,58,28884.00
2026-09-30,EMEA,pro,47,23406.00
